scheme,p_sub,p_indel,trial,seed
s1,0.0,0.0,0,3865244336
s1,0.0,0.02,0,1561848203
s1,0.02,0.0,0,3869511888
s1,0.02,0.02,0,1566115755
s2,0.0,0.0,0,3075601732
s2,0.0,0.02,0,772205599
s2,0.02,0.0,0,1755789735
s2,0.02,0.02,0,1599877250
s3,0.0,0.0,0,28732214
s3,0.0,0.02,0,1167364514
s3,0.02,0.0,0,3744128026
s3,0.02,0.02,0,1440731893
