name,chunk_data_bytes,rs_parity_bytes,marker_period,max_marker_edit_distance,replication,run_id,wins,ties,losses,mean_margin,s1_eff_bpb,s2_eff_bpb,s3_eff_bpb,status
cand_j,512,192,20,6,4,s3_search2_cand_j,0,0,3,-0.002,0.25768795083954654,0.12919710149320077,0.0024015401885980666,ok
cand_k,512,160,15,8,5,s3_search2_cand_k,0,0,3,-0.0018333333333333333,0.25768795083954654,0.12919710149320077,0.0036635790491035916,ok
cand_l,256,192,15,8,5,s3_search2_cand_l,0,0,3,-0.003833333333333333,0.39238448952405774,0.20276776276732836,0.002621233012508552,ok
cand_m,1024,192,20,8,5,s3_search2_cand_m,0,0,3,-0.0008333333333333334,0.15660084046644338,0.08060931232684117,0.0012893623798968918,ok
